ID documento;Estado factura;Tipo documento;Fecha factura;Reembolso;Id documento externo;Fecha contabilizacion;Id pedido compra;Estado;ID proveedor;Nombre proveedor;Importe factura;Importe neto;Importe impuesto;Importe bruto
FP-108;Pagado;Factura;6/9/2016;#;466;29/9/2016;79;Finalizado;P000027;BUSSCAR DE COLOMBIA SAS;295000;1180000;0;1180000
FP-108;Pagado;Factura;6/9/2016;#;466;29/9/2016;#;Sin asignar;P000027;BUSSCAR DE COLOMBIA SAS;188800;188800;0;188800
FP-109;Pagado;Factura;6/9/2016;#;470;29/9/2016;75;Finalizado;P000027;BUSSCAR DE COLOMBIA SAS;295000;1180000;0;1180000
FP-109;Pagado;Factura;6/9/2016;#;470;29/9/2016;#;Sin asignar;P000027;BUSSCAR DE COLOMBIA SAS;188800;188800;0;188800
FP-111;Pagado;Factura;6/9/2016;#;472;29/9/2016;76;Finalizado;P000027;BUSSCAR DE COLOMBIA SAS;295000;1180000;0;1180000
FP-111;Pagado;Factura;6/9/2016;#;472;29/9/2016;#;Sin asignar;P000027;BUSSCAR DE COLOMBIA SAS;188800;188800;0;188800
FP-112;Pagado;Factura;6/9/2016;#;457;29/9/2016;77;Finalizado;P000027;BUSSCAR DE COLOMBIA SAS;295000;1180000;0;1180000
FP-112;Pagado;Factura;6/9/2016;#;457;29/9/2016;#;Sin asignar;P000027;BUSSCAR DE COLOMBIA SAS;188800;188800;0;188800
FP-113;Pagado;Factura;6/9/2016;#;459;29/9/2016;78;Finalizado;P000027;BUSSCAR DE COLOMBIA SAS;295000;1180000;0;1180000
FP-113;Pagado;Factura;6/9/2016;#;459;29/9/2016;#;Sin asignar;P000027;BUSSCAR DE COLOMBIA SAS;188800;188800;0;188800
FP-114;Pagado;Factura;6/9/2016;#;449;30/9/2016;97;Finalizado;P000027;BUSSCAR DE COLOMBIA SAS;296000;888000;0;888000
FP-114;Pagado;Factura;6/9/2016;#;449;30/9/2016;#;Sin asignar;P000027;BUSSCAR DE COLOMBIA SAS;142080;142080;0;142080
FP-115;Pagado;Factura;6/9/2016;#;451;30/9/2016;98;Finalizado;P000027;BUSSCAR DE COLOMBIA SAS;296000;888000;0;888000
FP-115;Pagado;Factura;6/9/2016;#;451;30/9/2016;#;Sin asignar;P000027;BUSSCAR DE COLOMBIA SAS;142080;142080;0;142080
FP-116;Pagado;Factura;6/9/2016;#;461;29/9/2016;74;Finalizado;P000027;BUSSCAR DE COLOMBIA SAS;295000;1180000;0;1180000
FP-116;Pagado;Factura;6/9/2016;#;461;29/9/2016;#;Sin asignar;P000027;BUSSCAR DE COLOMBIA SAS;188800;188800;0;188800
